trade_date,close,rsi_14,dif,dea,macd_hist,bb_ma,bb_upper,bb_lower,bb_pct_b,bb_bandwidth,tr,atr_14,atr_pct,atr_stop_long
2025-01-02,29.0,,0.0,0.0,0.0,,,,,,3.0500000000000007,3.0500000000000007,10.517241379310347,22.9
2025-01-03,29.55,100.0,0.04387464387464135,0.00877492877492827,0.07019943019942616,,,,,,2.049999999999997,2.978571428571429,10.079767947788254,23.59285714285714
2025-01-06,29.65,100.0,0.08572657689466467,0.024165258398875553,0.12312263699157824,,,,,,1.1500000000000021,2.84795918367347,9.605258629590118,23.954081632653057
2025-01-07,31.15,100.0,0.23719773151838908,0.06677175302277827,0.3408519569912216,,,,,,1.8999999999999986,2.7802478134110795,8.925354136151139,25.58950437317784
2025-01-08,30.55,92.72209672927565,0.30530535714645524,0.11447847384751367,0.38165376659788314,,,,,,1.5999999999999979,2.695944398167431,8.824695247683897,25.15811120366514
2025-01-09,31.45,93.48772025481725,0.42698164096164604,0.17697910727034016,0.5000050673826117,,,,,,2.1499999999999986,2.6569483697269,8.448166517414627,26.1361032605462
2025-01-10,32.35,94.15042213152694,0.5892410469027602,0.2594314951968242,0.6596191034118721,,,,,,2.3000000000000007,2.63145205760355,8.134318570644666,27.0870958847929
2025-01-13,34.35,95.29600004282204,0.8691965239574486,0.3813845009489491,0.975624046016999,,,,,,2.200000000000003,2.600634053489011,7.570987055280963,29.14873189302198
2025-01-14,35.1,95.64076736950743,1.1384585470178727,0.5327993101627339,1.2113184737102778,,,,,,2.25,2.5755887639540815,7.337859726364904,29.948822472091837
2025-01-15,37.2,96.42979864412253,1.5039663024410785,0.7270327086184029,1.5538671876453514,,,,,,3.049999999999997,2.609475280814504,7.014718496813181,31.981049438370995
2025-01-16,36.0,86.76534906138535,1.6774670646394192,0.9171195798226062,1.520694969633626,,,,,,4.25,2.726655617899182,7.574043383053283,30.546688764201637
2025-01-17,39.45,89.89956257989012,2.0694979516650207,1.147595254191089,1.8438053949478634,,,,,,3.950000000000003,2.8140373594778123,7.133174548739701,33.82192528104438
2025-01-20,39.4,89.56850236441119,2.3490720317943072,1.3878906097117327,1.922362844165149,,,,,,2.049999999999997,2.7594632623722544,7.00371386388897,33.88107347525549
2025-01-21,41.9,91.29469113484207,2.740771701048942,1.6584668279791748,2.1646097461395346,,,,,,3.1000000000000014,2.783787315059951,6.6438838068256585,36.3324253698801
